pants_description,Avg_Discount
"Men Skinny Fit Faded Jeans",21543.50
"Men Super T Rocco Jeans",19799.00
"Men Mid Rise Washed Jeans",16799.00
"Men Slim Fit Stretch Jeans",15750.00
"Mid-Rise Slim-Fit Jeans",15375.00
"Mid Rise Oversize Cargo Jeans",13199.00
"Sullivan Slim Low-Rise Jeans",13125.00
"Men Taper Stretch Jeans",13125.00
"Men Skinny Fit Clean LookJeans",11399.00
"Men Casual Regular Jeans",11249.00
"Men 017 Skinny Fit Jeans",8999.00
"Men Tapered Pure Cotton Jeans",8249.00
"Men Bleached Heavy Fade Jeans",8249.00
"Men Relaxed Cotton Jeans",7439.00
"Men Austin Slim Tapered Jeans",6749.00
"Low-Rise Cotton Cargo Jeans",6599.00
"Men Regular Tapered Fit Jeans",6599.00
"Men 90s Loose Jeans",6499.00
"Pure Cotton Slim Fit Jeans",6299.00
"Men Solid Casual Jeans",6000.00
"Men Straight Fit Rise Jeans",5999.00
"Men Printed Bootcut Jeans",5999.00
"Men Skinny Fit Patchwork Jeans",5999.00
"Cotton Men Slim Fit Jeans",5999.00
"Men Urban Slim Slim Fit Jeans",5999.00
"Men Austin Slim Fit L Jeans",5999.00
"Men Simon Skinny Fit Jeans",5949.00
"Men Satinx Slim Fit Jeans",5669.00
"Men Slim Mid Rise Fit Jeans",5599.00
"Men Scanton Slim Fit Jeans",5594.83
"101 Z Mid Rise Jeans",5589.00
"Men Savoy Slim Fit Jeans",5529.00
"Men Washed Tapered Fit Jeans",5500.00
"Men Dad Tapered Fit Jeans",5399.00
"Men Dad Fit  Jeans",5399.00
"Redloop Men Tapered Fit Mid-Rise Jeans",5134.00
"Men  Loose Fit Jeans",5099.00
"Cotton Blend Slim Fit Jean",5099.00
"Relaxed Straight Fit Jeans",5099.00
"Men High Distress Jeans",4999.00
"Men Mid Rise Clean Jeans",4999.00
"Men Delft Slim Fit Jeans",4859.00
"Low Distress Heavy Fade Jeans",4799.00
"Men Polin Regular Fit Jeans",4799.00
"Men Monaco Slim Fit Jeans",4739.00
"Men Comfort No Fade Jeans",4729.00
"Men Mid Rise Regular Fit Jeans",4725.33
"Men 505 Stretchable Jeans",4581.50
"Men  512 Tapered Fit Jeans",4549.00
"Men Clean Look High-Rise Jeans",4549.00
"Redloop Men 512 Slim Tapered Fit Jeans",4525.67
"Men Burd Primary Blue Jeans",4499.00
"Men Austin Slim Fit Jeans",4499.00
"Men Plus Size Strechable Jeans",4454.00
"Men Astred Slim Fit Jeans",4399.00
"Men Pure Cotton Dad Fit Jeans",4387.00
"Men 512 Stretchable Jeans",4349.00
"Men Elanza Regular Fit Jeans",4299.00
"Men Train Regular Fit Jeans",4299.00
"Men Traingle Regular Fit Jeans",4299.00
"Men Hork Primary Blue Jeans",4283.00
"Men Comfort Wide Leg Jeans",4199.00
"Men Light Fade Casual Jeans",4196.50
"Regular Fit Clean Look Jeans",4186.50
"Men Mid Raise Cotton Jeans",4149.00
"Men Rodeo Cotton Jeans",4091.00
"Men Ultra-Soft Patrick Jeans",4053.00
"Men Doros Regular Fit Jeans",4049.00
"Men Evolve Regular Fit Jeans",4049.00
"Plus Size Men Cargo Jeans",4049.00
"Men Nikos Regular Fit Jeans",4049.00
"Men Reid Dark Blue Jeans",4019.00
"Anti Odour Denim Jeans",3999.00
"Anti Odour  Denim Jeans",3999.00
"Men Blue Loose Fit Jeans",3999.00
"Men Soft touch denim",3999.00
"Men Autstin Slim Fit Jeans",3999.00
"Icy Cool Tech Anti Odor Jeans",3999.00
"Men Primary Black Baggy Jeans",3989.00
"Men 550'92 Relaxed Fit Jeans",3974.00
"Slim Fit Mid-Rise Jeans",3971.19
"Men Cotton Low Distress Jeans",3958.50
"Mid-Rise Straight Fit Jeans",3925.03
"EasyFlex Slim Straight Jeans",3909.00
"Men Regular Lean Jeans",3909.00
"Plus Size Men Skinny Fit Jeans",3899.00
"Redloop Men Slim Tapered Fit Jeans",3899.00
"Men Bootcut Printed Jeans",3849.00
"Bootcut Cargo Jeans",3849.00
"Men Saton Slim Fit Jeans",3849.00
"Cotton Mildly Distressed Jeans",3779.00
"Straight Regular Jeans",3778.33
"Redloop Men 513 Slim Straight Jeans",3743.00
"Redloop Men 511 Slim Fit Jeans",3741.38
"Unisex Flared Denim Jeans",3699.00
"Tapered Fit Low Distress Jeans",3674.50
"Men Mid-Low Slim Fit Jeans",3599.00
"Men Solid High-Rise Jeans",3599.00
"Men Radley Slim Fit Jeans",3587.00
"Redloop Men 512 Tapered Fit Jeans",3574.00
"Redloop Men Slim Straight Fit Jeans",3574.00
"Men Cordon Slim Fit Jeans",3569.00
"Men Trika Regular Fit Jeans",3559.00
"Men Astra Slim Fit Jeans",3549.00
"Men Edin Slim Fit Jeans",3539.00
"Men Solid Straight Fit Jeans",3512.80
"Men Salar Slim Fit Jeans",3509.00
"30 Days No Wash Jeans",3499.00
"High-Rise Cargo Styles Jeans",3499.00
"Men Freks Primary Beige Jeans",3499.00
"Highly Distress Bootcut Jeans",3499.00
"Men Olivia Slim Fit Jeans",3499.00
"Men Slim Fit Powerflex Jeans",3449.00
"Men Cotton Jean",3449.00
